"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"Ene 2018","2.823,81","2.683,73","2.872,87","2.682,36","-","5,62%"
"Dic 2017","2.673,61","2.645,10","2.694,97","2.605,52","-","0,98%"
"Nov 2017","2.647,58","2.583,21","2.657,74","2.557,45","-","2,81%"
"Oct 2017","2.575,26","2.521,20","2.582,98","2.520,40","-","2,22%"
"Sep 2017","2.519,36","2.474,42","2.519,44","2.446,55","-","1,93%"
"Ago 2017","2.471,65","2.477,10","2.490,87","2.417,35","-","0,05%"
"Jul 2017","2.470,30","2.431,39","2.484,04","2.407,70","-","1,93%"
"Jun 2017","2.423,41","2.415,65","2.453,82","2.405,70","-","0,48%"
"May 2017","2.411,80","2.388,50","2.418,71","2.352,72","-","1,16%"
"Abr 2017","2.384,20","2.362,34","2.398,16","2.328,95","-","0,91%"
"Mar 2017","2.362,72","2.380,13","2.400,98","2.322,25","-","-0,04%"
"Feb 2017","2.363,64","2.285,59","2.371,54","2.271,65","-","3,72%"
"Ene 2017","2.278,87","2.251,57","2.300,99","2.245,13","-","1,79%"
"Dic 2016","2.238,83","2.200,17","2.277,53","2.187,44","-","1,82%"
"Nov 2016","2.198,81","2.128,68","2.214,10","2.083,79","-","3,42%"
"Oct 2016","2.126,15","2.164,33","2.169,60","2.114,72","-","-1,94%"
"Sep 2016","2.168,27","2.171,33","2.187,87","2.119,12","-","-0,12%"
"Ago 2016","2.170,95","2.173,15","2.193,81","2.147,58","-","-0,12%"
"Jul 2016","2.173,60","2.099,34","2.177,09","2.074,02","-","3,56%"
"Jun 2016","2.098,86","2.093,94","2.120,55","1.991,68","-","0,09%"
"May 2016","2.096,96","2.067,17","2.103,48","2.025,91","-","1,53%"
"Abr 2016","2.065,30","2.056,62","2.111,05","2.033,80","-","0,27%"
"Mar 2016","2.059,74","1.937,09","2.072,21","1.937,09","-","6,60%"
"Feb 2016","1.932,23","1.936,94","1.962,96","1.810,10","-","-0,41%"
"Ene 2016","1.940,24","2.038,20","2.038,20","1.812,29","-","-5,07%"
"Dic 2015","2.043,94","2.082,93","2.104,27","1.993,26","-","-1,75%"
"Nov 2015","2.080,41","2.080,76","2.116,48","2.019,39","-","0,05%"
"Oct 2015","2.079,36","1.919,65","2.094,32","1.893,70","-","8,30%"
"Sep 2015","1.920,03","1.970,09","2.020,86","1.871,91","-","-2,64%"
"Ago 2015","1.972,18","2.104,49","2.112,66","1.867,01","-","-6,26%"
"Jul 2015","2.103,84","2.067,00","2.132,82","2.044,02","-","1,97%"
"Jun 2015","2.063,11","2.108,64","2.129,87","2.056,32","-","-2,10%"
"May 2015","2.107,39","2.087,38","2.134,72","2.067,93","-","1,05%"
"Abr 2015","2.085,51","2.067,63","2.125,92","2.048,38","-","0,85%"
"Mar 2015","2.067,89","2.105,23","2.117,52","2.039,69","-","-1,74%"
"Feb 2015","2.104,50","1.996,67","2.119,59","1.980,90","-","5,49%"
"Ene 2015","1.994,99","2.058,90","2.072,36","1.988,12","-","-3,10%"
"Dic 2014","2.058,90","2.065,78","2.093,55","1.972,56","-","-0,42%"
"Nov 2014","2.067,56","2.018,21","2.075,76","2.001,01","-","2,45%"
"Oct 2014","2.018,05","1.971,44","2.018,19","1.820,66","-","2,32%"
"Sep 2014","1.972,29","2.004,07","2.019,26","1.964,04","-","-1,55%"
"Ago 2014","2.003,37","1.929,80","2.005,04","1.904,78","-","3,77%"
"Jul 2014","1.930,67","1.962,29","1.991,39","1.930,67","-","-1,51%"
"Jun 2014","1.960,23","1.923,87","1.968,17","1.915,98","-","1,91%"
"May 2014","1.923,57","1.884,39","1.924,03","1.859,79","-","2,10%"
"Abr 2014","1.883,95","1.873,96","1.897,28","1.814,36","-","0,62%"
"Mar 2014","1.872,34","1.857,68","1.883,97","1.834,44","-","0,69%"
"Feb 2014","1.859,45","1.782,68","1.867,92","1.737,92","-","4,31%"
"Ene 2014","1.782,59","1.845,86","1.850,84","1.770,45","-","-3,56%"
"Dic 2013","1.848,36","1.806,55","1.849,44","1.767,99","-","2,36%"
"Nov 2013","1.805,81","1.758,70","1.813,55","1.746,20","-","2,80%"
"Oct 2013","1.756,54","1.682,41","1.775,22","1.646,47","-","4,46%"
"Sep 2013","1.681,55","1.635,95","1.729,86","1.633,41","-","2,97%"
"Ago 2013","1.632,97","1.689,42","1.709,67","1.627,47","-","-3,13%"
"Jul 2013","1.685,73","1.609,78","1.698,78","1.604,57","-","4,95%"
"Jun 2013","1.606,28","1.631,71","1.654,19","1.560,33","-","-1,50%"
"May 2013","1.630,74","1.597,55","1.687,18","1.581,28","-","2,08%"
"Abr 2013","1.597,57","1.569,18","1.597,57","1.536,03","-","1,81%"
"Mar 2013","1.569,19","1.514,68","1.570,28","1.501,48","-","3,60%"
"Feb 2013","1.514,68","1.498,11","1.530,94","1.485,01","-","1,11%"
"Ene 2013","1.498,11","1.426,19","1.509,94","1.426,19","-","5,04%"
"Dic 2012","1.426,19","1.416,34","1.448,00","1.398,11","-","0,71%"
"Nov 2012","1.416,18","1.412,20","1.434,27","1.343,35","-","0,28%"
"Oct 2012","1.412,16","1.440,90","1.470,96","1.403,28","-","-1,98%"
"Sep 2012","1.440,67","1.406,54","1.474,51","1.396,56","-","2,42%"
"Ago 2012","1.406,58","1.379,32","1.426,68","1.354,65","-","1,98%"
"Jul 2012","1.379,32","1.362,33","1.391,74","1.325,41","-","1,26%"
"Jun 2012","1.362,16","1.309,87","1.363,46","1.266,74","-","3,96%"
"May 2012","1.310,33","1.397,86","1.415,32","1.291,98","-","-6,27%"
"Abr 2012","1.397,91","1.408,47","1.422,38","1.357,38","-","-0,75%"
"Mar 2012","1.408,47","1.365,90","1.419,15","1.340,03","-","3,13%"
"Feb 2012","1.365,68","1.312,45","1.378,04","1.312,45","-","4,06%"
"Ene 2012","1.312,41","1.258,86","1.333,47","1.258,86","-","4,36%"
"Dic 2011","1.257,60","1.246,91","1.269,37","1.202,37","-","0,85%"
"Nov 2011","1.246,96","1.251,00","1.277,55","1.158,66","-","-0,51%"
"Oct 2011","1.253,30","1.131,21","1.292,66","1.074,77","-","10,77%"
"Sep 2011","1.131,42","1.219,12","1.229,29","1.114,22","-","-7,18%"
"Ago 2011","1.218,89","1.292,59","1.307,38","1.101,54","-","-5,68%"
"Jul 2011","1.292,28","1.320,64","1.356,48","1.282,86","-","-2,15%"
"Jun 2011","1.320,64","1.345,20","1.345,20","1.258,07","-","-1,83%"
"May 2011","1.345,20","1.365,21","1.370,58","1.311,80","-","-1,35%"
"Abr 2011","1.363,61","1.329,48","1.364,56","1.294,70","-","2,85%"
"Mar 2011","1.325,83","1.328,64","1.332,28","1.249,05","-","-1,09%"
"Feb 2011","1.340,43","1.334,37","1.341,50","1.331,00","-","4,22%"
"Ene 2011","1.286,12","1.257,62","1.302,67","1.257,62","-","2,26%"
"Dic 2010","1.257,64","1.186,60","1.262,60","1.186,60","-","6,53%"
"Nov 2010","1.180,55","1.185,71","1.227,08","1.173,00","-","-0,23%"
"Oct 2010","1.183,26","1.143,49","1.196,14","1.131,87","-","3,69%"
"Sep 2010","1.141,20","1.049,72","1.157,16","1.049,72","-","8,76%"
"Ago 2010","1.049,33","1.107,53","1.129,24","1.039,70","-","-4,74%"
"Jul 2010","1.101,60","1.031,10","1.120,95","1.010,91","-","6,88%"
"Jun 2010","1.030,71","1.087,30","1.131,23","1.028,33","-","-5,39%"
"May 2010","1.089,41","1.188,58","1.205,13","1.040,78","-","-8,20%"
"Abr 2010","1.186,69","1.171,23","1.219,80","1.170,69","-","1,48%"
"Mar 2010","1.169,43","1.105,36","1.180,69","1.105,36","-","5,88%"
"Feb 2010","1.104,49","1.073,89","1.112,42","1.044,50","-","2,85%"
"Ene 2010","1.073,87","1.116,56","1.150,45","1.071,59","-","-3,70%"
"Dic 2009","1.115,10","1.098,89","1.130,38","1.085,89","-","1,78%"
"Nov 2009","1.095,63","1.036,18","1.113,69","1.029,38","-","5,74%"
"Oct 2009","1.036,19","1.054,91","1.101,36","1.019,95","-","-1,98%"
"Sep 2009","1.057,08","1.019,52","1.080,15","991,97","-","3,57%"
"Ago 2009","1.020,62","990,22","1.039,47","978,51","-","3,36%"
"Jul 2009","987,48","920,82","996,68","869,32","-","7,41%"
"Jun 2009","919,32","923,26","956,23","888,86","-","0,02%"
"May 2009","919,14","872,74","930,17","866,10","-","5,31%"
"Abr 2009","872,81","793,59","888,70","783,32","-","9,39%"
"Mar 2009","797,87","729,57","832,98","666,79","-","8,54%"
"Feb 2009","735,09","823,09","875,01","734,52","-","-10,99%"
"Ene 2009","825,88","902,99","943,85","804,30","-","-8,57%"
"Dic 2008","903,25","888,61","918,85","815,69","-","0,78%"
"Nov 2008","896,24","968,67","1.007,51","741,02","-","-7,48%"
"Oct 2008","968,75","1.164,17","1.167,03","839,80","-","-16,94%"
"Sep 2008","1.166,36","1.287,83","1.303,04","1.106,39","-","-9,08%"
"Ago 2008","1.282,83","1.269,42","1.313,15","1.247,45","-","1,22%"
"Jul 2008","1.267,38","1.276,69","1.292,17","1.200,44","-","-0,99%"
"Jun 2008","1.280,00","1.399,62","1.404,05","1.272,00","-","-8,60%"
"May 2008","1.400,38","1.385,97","1.440,24","1.373,07","-","1,07%"
"Abr 2008","1.385,59","1.326,41","1.404,57","1.324,35","-","4,75%"
"Mar 2008","1.322,70","1.330,45","1.359,68","1.256,98","-","-0,60%"
"Feb 2008","1.330,63","1.378,60","1.396,02","1.316,75","-","-3,48%"
"Ene 2008","1.378,55","1.467,97","1.471,77","1.270,05","-","-6,12%"
"Dic 2007","1.468,36","1.479,63","1.523,57","1.435,65","-","-0,86%"
"Nov 2007","1.481,14","1.545,79","1.545,79","1.406,10","-","-4,40%"
"Oct 2007","1.549,38","1.527,29","1.576,09","1.489,56","-","1,48%"
"Sep 2007","1.526,75","1.473,96","1.538,74","1.439,29","-","3,58%"
"Ago 2007","1.473,99","1.455,18","1.503,89","1.370,60","-","1,29%"
"Jul 2007","1.455,27","1.504,66","1.555,90","1.454,25","-","-3,20%"
"Jun 2007","1.503,35","1.530,62","1.540,56","1.484,18","-","-1,78%"
"May 2007","1.530,62","1.482,37","1.535,56","1.476,70","-","3,25%"
"Abr 2007","1.482,37","1.420,83","1.498,02","1.416,37","-","4,33%"
"Mar 2007","1.420,86","1.406,80","1.438,89","1.363,98","-","1,00%"
"Feb 2007","1.406,82","1.437,90","1.461,57","1.389,42","-","-2,18%"
"Ene 2007","1.438,24","1.418,03","1.441,61","1.403,97","-","1,41%"
"Dic 2006","1.418,30","1.400,63","1.431,81","1.385,93","-","1,26%"
"Nov 2006","1.400,63","1.377,76","1.407,89","1.360,98","-","1,65%"
"Oct 2006","1.377,94","1.335,82","1.389,45","1.327,10","-","3,15%"
"Sep 2006","1.335,85","1.303,80","1.340,28","1.290,93","-","2,46%"
"Ago 2006","1.303,82","1.278,53","1.306,74","1.261,30","-","2,13%"
"Jul 2006","1.276,66","1.270,06","1.280,42","1.224,54","-","0,51%"
"Jun 2006","1.270,20","1.270,05","1.290,68","1.219,29","-","0,01%"
"May 2006","1.270,09","1.310,61","1.326,70","1.245,34","-","-3,09%"
"Abr 2006","1.310,61","1.302,88","1.318,16","1.280,74","-","1,22%"
"Mar 2006","1.294,83","1.280,66","1.310,88","1.268,42","-","1,11%"
"Feb 2006","1.280,66","1.280,08","1.297,57","1.253,61","-","0,05%"
"Ene 2006","1.280,08","1.248,29","1.294,90","1.245,74","-","2,55%"
"Dic 2005","1.248,29","1.249,48","1.275,80","1.246,59","-","-0,10%"
"Nov 2005","1.249,48","1.207,01","1.270,64","1.201,07","-","3,52%"
"Oct 2005","1.207,01","1.228,81","1.233,34","1.168,20","-","-1,77%"
"Sep 2005","1.228,81","1.220,33","1.243,13","1.205,35","-","0,69%"
"Ago 2005","1.220,33","1.234,18","1.245,86","1.201,07","-","-1,12%"
"Jul 2005","1.234,18","1.191,33","1.245,15","1.183,55","-","3,60%"
"Jun 2005","1.191,33","1.191,50","1.219,59","1.188,30","-","-0,01%"
"May 2005","1.191,50","1.156,85","1.199,56","1.146,18","-","3,00%"
"Abr 2005","1.156,85","1.180,59","1.191,88","1.136,15","-","-2,01%"
"Mar 2005","1.180,59","1.203,60","1.229,11","1.163,69","-","-1,91%"
"Feb 2005","1.203,60","1.181,27","1.212,44","1.180,95","-","1,89%"
"Ene 2005","1.181,27","1.211,92","1.217,90","1.163,75","-","-2,53%"
"Dic 2004","1.211,92","1.173,78","1.217,33","1.173,76","-","3,25%"
"Nov 2004","1.173,82","1.130,20","1.188,46","1.127,53","-","3,86%"
"Oct 2004","1.130,20","1.114,58","1.142,05","1.090,19","-","1,40%"
"Sep 2004","1.114,58","1.104,24","1.131,54","1.099,11","-","0,94%"
"Ago 2004","1.104,24","1.101,72","1.109,68","1.060,72","-","0,23%"
"Jul 2004","1.101,72","1.140,84","1.140,84","1.078,78","-","-3,43%"
"Jun 2004","1.140,84","1.120,68","1.146,34","1.113,32","-","1,80%"
"May 2004","1.120,68","1.107,30","1.127,74","1.076,32","-","1,21%"
"Abr 2004","1.107,30","1.126,21","1.150,57","1.107,23","-","-1,68%"
"Mar 2004","1.126,21","1.144,94","1.163,23","1.087,06","-","-1,64%"
"Feb 2004","1.144,94","1.131,13","1.158,98","1.124,44","-","1,22%"
"Ene 2004","1.131,13","1.111,92","1.155,38","1.105,08","-","1,73%"
"Dic 2003","1.111,92","1.058,20","1.112,56","1.053,41","-","5,08%"
"Nov 2003","1.058,20","1.050,71","1.063,65","1.031,20","-","0,71%"
"Oct 2003","1.050,71","995,97","1.053,79","995,97","-","5,50%"
"Sep 2003","995,97","1.008,01","1.040,29","990,36","-","-1,19%"
"Ago 2003","1.008,01","990,31","1.011,01","960,84","-","1,48%"
"Jul 2003","993,32","974,50","1.015,41","962,10","-","1,93%"
"Jun 2003","974,50","963,59","1.015,33","963,59","-","1,13%"
"May 2003","963,59","916,92","965,38","902,83","-","5,09%"
"Abr 2003","916,92","848,18","924,24","847,85","-","8,10%"
"Mar 2003","848,18","841,15","895,90","788,90","-","0,84%"
"Feb 2003","841,15","855,70","864,64","806,29","-","-1,70%"
"Ene 2003","855,70","879,82","935,05","840,34","-","-2,74%"
"Dic 2002","879,82","936,31","954,28","869,45","-","-6,03%"
"Nov 2002","936,31","885,76","941,82","872,05","-","5,71%"
"Oct 2002","885,76","815,28","907,44","768,63","-","8,64%"
"Sep 2002","815,28","916,07","924,02","800,20","-","-11,00%"
"Ago 2002","916,07","911,62","965,00","833,44","-","0,49%"
"Jul 2002","911,62","989,82","994,46","775,68","-","-7,90%"
"Jun 2002","989,82","1.067,14","1.070,74","952,92","-","-7,25%"
"May 2002","1.067,14","1.076,92","1.106,59","1.048,96","-","-0,91%"
"Abr 2002","1.076,92","1.147,39","1.147,84","1.063,46","-","-6,14%"
"Mar 2002","1.147,39","1.106,73","1.173,94","1.106,73","-","3,67%"
"Feb 2002","1.106,73","1.130,20","1.130,20","1.074,36","-","-2,08%"
"Ene 2002","1.130,20","1.148,08","1.176,97","1.081,66","-","-1,56%"
"Dic 2001","1.148,08","1.139,45","1.173,62","1.114,53","-","0,76%"
"Nov 2001","1.139,45","1.059,78","1.163,38","1.054,31","-","7,52%"
"Oct 2001","1.059,78","1.040,94","1.110,61","1.026,76","-","1,81%"
"Sep 2001","1.040,94","1.133,58","1.155,40","944,75","-","-8,17%"
