"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 17, 2019","4,814.68","4,876.31","4,879.68","4,794.24","-","-1.26%"
"Dec 16, 2019","4,876.31","4,884.92","4,904.18","4,873.57","-","-0.18%"
"Dec 13, 2019","4,884.92","4,815.27","4,908.11","4,815.27","-","1.45%"
"Dec 12, 2019","4,815.27","4,784.73","4,821.50","4,783.51","-","0.64%"
"Dec 11, 2019","4,784.73","4,759.73","4,813.93","4,759.73","-","0.53%"
"Dec 10, 2019","4,759.73","4,748.20","4,773.62","4,739.61","-","0.24%"
"Dec 09, 2019","4,748.20","4,723.80","4,753.33","4,711.51","-","0.52%"
"Dec 06, 2019","4,723.80","4,735.10","4,758.39","4,717.90","-","-0.24%"
"Dec 05, 2019","4,735.10","4,644.98","4,751.60","4,644.98","-","1.94%"
"Dec 04, 2019","4,644.98","4,492.92","4,644.98","4,492.92","-","3.38%"
"Dec 03, 2019","4,492.92","4,501.58","4,512.05","4,468.30","-","-0.19%"
"Dec 02, 2019","4,501.58","4,538.80","4,553.04","4,499.70","-","-0.82%"
"Nov 29, 2019","4,538.80","4,518.68","4,600.75","4,497.56","-","0.45%"
"Nov 28, 2019","4,518.68","4,596.44","4,599.36","4,493.69","-","-1.69%"
"Nov 27, 2019","4,596.44","4,563.00","4,613.05","4,559.78","-","0.73%"
"Nov 26, 2019","4,563.00","4,651.65","4,672.18","4,547.94","-","-1.91%"
"Nov 25, 2019","4,651.65","4,729.90","4,729.90","4,649.70","-","-1.65%"
"Nov 22, 2019","4,729.90","4,744.30","4,752.99","4,691.15","-","-0.30%"
"Nov 21, 2019","4,744.30","4,786.12","4,790.43","4,734.95","-","-0.87%"
"Nov 20, 2019","4,786.12","4,791.88","4,817.03","4,743.84","-","-0.12%"
"Nov 19, 2019","4,791.88","4,814.17","4,817.73","4,749.79","-","-0.46%"
"Nov 18, 2019","4,814.17","4,861.44","4,891.27","4,777.53","-","-0.97%"
"Nov 15, 2019","4,861.44","4,498.52","4,863.23","4,498.52","-","8.07%"
"Nov 14, 2019","4,498.52","4,412.25","4,505.82","4,411.90","-","1.96%"
"Nov 13, 2019","4,412.25","4,544.20","4,546.93","4,408.17","-","-2.90%"
"Nov 12, 2019","4,544.20","4,619.59","4,619.96","4,425.29","-","-1.63%"
"Nov 11, 2019","4,619.59","4,690.88","4,690.88","4,596.30","-","-1.52%"
"Nov 08, 2019","4,690.88","4,672.77","4,704.03","4,654.59","-","0.39%"
"Nov 07, 2019","4,672.77","4,599.38","4,672.78","4,597.05","-","1.60%"
"Nov 06, 2019","4,599.38","4,730.12","4,732.09","4,566.30","-","-2.76%"
"Nov 05, 2019","4,730.12","4,801.56","4,801.57","4,686.11","-","-1.49%"
"Nov 04, 2019","4,801.56","4,744.13","4,836.45","4,744.13","-","1.21%"
"Oct 30, 2019","4,744.13","4,880.87","4,881.01","4,699.61","-","-2.80%"
"Oct 29, 2019","4,880.87","4,962.34","4,963.38","4,852.22","-","-1.64%"
"Oct 28, 2019","4,962.34","4,943.85","4,972.95","4,942.84","-","0.37%"
"Oct 25, 2019","4,943.85","5,014.95","5,014.95","4,942.69","-","-1.42%"
"Oct 24, 2019","5,014.95","4,910.54","5,014.95","4,853.51","-","2.13%"
"Oct 23, 2019","4,910.54","4,992.77","5,005.60","4,896.75","-","-1.65%"
"Oct 22, 2019","4,992.77","4,953.20","5,018.91","4,925.86","-","0.80%"
"Oct 21, 2019","4,953.20","5,192.39","5,194.01","4,920.75","-","-4.61%"
"Oct 18, 2019","5,192.39","5,172.31","5,192.39","5,167.04","-","0.39%"
"Oct 17, 2019","5,172.31","5,150.11","5,180.53","5,143.16","-","0.43%"
"Oct 16, 2019","5,150.11","5,157.50","5,157.50","5,125.05","-","-0.14%"
"Oct 15, 2019","5,157.50","5,131.57","5,157.50","5,127.22","-","0.51%"
"Oct 14, 2019","5,131.57","5,136.60","5,146.64","5,119.96","-","-0.10%"
"Oct 11, 2019","5,136.60","5,056.11","5,136.60","5,056.11","-","1.59%"
"Oct 10, 2019","5,056.11","5,032.56","5,062.25","5,028.96","-","0.47%"
"Oct 09, 2019","5,032.56","5,041.19","5,061.87","5,028.60","-","-0.17%"
